Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.608,99.531,0.00121,0.443,0.628,0.358,0.123,-10.705,0.0241,2
0.732,120.013,0.0,0.605,0.201,0.26,0.129,-7.307,0.0401,2
0.718,117.99,3.47e-05,0.237,0.348,0.123,0.11,-9.925,0.0308,2
0.568,72.991,0.102,0.569,0.0004,0.266,0.342,-6.013,0.0329,2
0.494,115.117,5.58e-05,0.267,0.935,0.166,0.128,-11.54,0.0308,2
0.393,167.999,0.0,0.555,0.405,0.22,0.105,-6.096,0.276,2
0.761,100.003,0.000579,0.703,0.0244,0.313,0.0761,-5.852,0.0648,2
0.512,147.89,0.0,0.754,0.135,0.336,0.0881,-6.031,0.055,2
0.477,118.855,0.000754,0.108,0.978,0.242,0.153,-16.484,0.0446,2
0.451,166.598,2.46e-06,0.0873,0.907,0.456,0.354,-16.815,0.063,2
0.48,86.149,1.47e-05,0.31,0.312,0.16,0.113,-7.887,0.0258,2
0.51,130.081,3.22e-06,0.643,0.214,0.0397,0.101,-6.602,0.0485,2
0.572,164.252,7.41e-06,0.721,0.187,0.844,0.216,-8.959,0.0402,2
0.422,114.089,7.83e-05,0.302,0.629,0.123,0.104,-9.214,0.0372,2
0.196,136.896,0.83,0.112,0.429,0.0431,0.115,-11.31,0.039,2
0.545,86.997,0.267,0.366,0.969,0.1,0.641,-9.51,0.0378,2
0.546,133.188,0.0,0.657,0.0928,0.361,0.119,-4.787,0.0332,2
0.453,149.95,1.8e-06,0.377,0.635,0.222,0.099,-8.466,0.0896,2
0.353,118.467,0.0244,0.185,0.92,0.175,0.106,-12.557,0.0388,2
0.593,133.088,0.0,0.259,0.937,0.267,0.112,-9.229,0.0401,2
0.472,121.457,3.81e-06,0.166,0.891,0.225,0.0964,-13.277,0.0349,2
0.423,98.489,1.4e-06,0.0657,0.928,0.105,0.0922,-14.421,0.0386,2
0.565,75.055,0.0,0.245,0.781,0.307,0.0998,-9.132,0.0262,2
0.455,84.339,0.0,0.292,0.889,0.43,0.106,-6.792,0.0563,2
0.441,94.021,0.0,0.219,0.935,0.244,0.115,-14.586,0.0419,2
0.726,115.918,0.0,0.408,0.603,0.459,0.225,-6.606,0.0614,2
0.61,146.163,0.0,0.725,0.367,0.291,0.154,-5.131,0.15,2
0.53,160.14,0.0,0.433,0.108,0.274,0.135,-10.598,0.185,2
0.703,147.038,3.13e-06,0.573,0.565,0.491,0.0987,-9.032,0.0724,2
0.761,97.013,0.000275,0.247,0.51,0.262,0.0968,-6.597,0.145,2
0.739,81.044,0.0,0.448,0.189,0.553,0.118,-10.28,0.138,2
0.738,94.378,0.0,0.491,0.626,0.448,0.126,-9.726,0.413,2
0.675,90.029,0.00268,0.5,0.00372,0.0709,0.114,-6.6,0.0516,2
0.623,158.273,0.000155,0.585,0.0628,0.538,0.119,-7.895,0.124,2
