Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.611,118.003,0.0185,0.809,0.019,0.428,0.114,-6.63,0.0342,2
0.548,95.004,0.799,0.814,0.135,0.0533,0.303,-6.34,0.0313,2
0.709,124.026,9.11e-06,0.901,0.0495,0.508,0.24,-5.279,0.0597,2
0.511,129.855,0.0,0.795,0.0461,0.415,0.138,-3.901,0.0509,2
0.422,145.181,0.0,0.572,0.485,0.394,0.186,-9.718,0.435,2
0.792,124.004,0.369,0.557,0.146,0.374,0.295,-9.633,0.248,2
0.612,120.022,0.175,0.876,0.0167,0.187,0.189,-6.247,0.0315,2
0.677,123.008,0.0186,0.802,0.0845,0.688,0.223,-5.388,0.107,2
0.699,119.944,0.0777,0.71,0.000529,0.159,0.0989,-6.126,0.035,2
0.532,144.912,0.0,0.571,0.679,0.475,0.109,-6.291,0.041,2
0.489,149.977,6.04e-05,0.703,0.013,0.256,0.104,-4.564,0.026,2
0.494,165.039,4.78e-05,0.683,0.0691,0.381,0.202,-7.417,0.0447,2
0.729,122.015,0.353,0.72,0.125,0.0388,0.178,-6.69,0.0371,2
0.655,115.13,0.0,0.729,0.297,0.375,0.117,-1.724,0.107,2
0.501,74.767,5.15e-06,0.969,0.0132,0.17,0.139,-2.011,0.353,2
0.545,149.988,0.0,0.668,0.148,0.249,0.372,-3.962,0.0906,2
0.359,184.739,0.104,0.774,0.0649,0.141,0.11,-5.789,0.0745,2
0.454,113.635,3.02e-06,0.809,0.531,0.2,0.137,-3.333,0.0528,2
0.469,79.981,0.000212,0.38,0.0372,0.302,0.317,-5.394,0.0306,2
0.538,159.902,0.29,0.683,0.108,0.0578,0.149,-7.863,0.0412,2
0.639,136.004,2.22e-06,0.71,0.483,0.373,0.219,-3.358,0.0479,2
0.275,69.428,0.456,0.523,0.985,0.296,0.331,-10.406,0.0568,2
0.71,120.023,0.471,0.625,0.00393,0.139,0.318,-8.331,0.0346,2
0.566,150.074,8.31e-05,0.903,0.00243,0.0406,0.0996,-0.484,0.0385,2
0.744,120.105,0.0,0.727,0.0499,0.596,0.186,-5.163,0.0877,2
0.737,98.016,4.83e-05,0.507,0.193,0.128,0.117,-8.336,0.0383,2
0.656,116.043,1.2e-06,0.66,0.0499,0.594,0.152,-6.516,0.0312,2
0.487,145.919,1.46e-05,0.694,0.131,0.287,0.106,-4.049,0.0397,2
0.754,105.062,0.0,0.763,0.103,0.602,0.0587,-5.831,0.09,2
0.652,97.053,1.95e-05,0.803,0.0156,0.52,0.0608,-5.366,0.0433,2
0.572,139.928,2.75e-05,0.475,0.00253,0.309,0.111,-8.531,0.0275,2
0.614,123.018,0.92,0.684,0.0022,0.14,0.152,-8.123,0.031,2
0.525,165.922,0.0,0.753,0.327,0.401,0.0686,-6.656,0.134,2
0.343,119.096,0.000505,0.321,0.514,0.44,0.232,-9.53,0.0357,2
0.251,89.973,0.0,0.673,0.0782,0.262,0.0844,-5.342,0.076,2
0.701,112.021,0.000494,0.722,0.178,0.206,0.177,-6.025,0.0486,2
0.699,107.978,0.000164,0.855,0.0621,0.5,0.0853,-3.267,0.036,2
0.656,119.96,0.00167,0.523,0.00843,0.279,0.0687,-6.862,0.0764,2
0.393,100.056,0.00339,0.632,0.3,0.156,0.367,-8.118,0.0378,2
0.633,124.982,0.285,0.787,0.0119,0.255,0.0669,-5.724,0.0269,2
0.712,99.909,0.0,0.839,0.173,0.565,0.0814,-5.136,0.26,2
0.655,97.855,0.0,0.569,0.237,0.301,0.124,-6.856,0.0552,2
0.643,144.01,0.0,0.603,0.012,0.42,0.118,-5.416,0.0311,2
0.668,139.903,4.64e-05,0.799,0.146,0.444,0.099,-6.815,0.0494,2
0.537,110.011,0.00343,0.347,0.444,0.0968,0.111,-10.245,0.0303,2
0.498,139.913,0.014,0.573,0.00916,0.0738,0.146,-6.757,0.0469,2
0.897,115.959,4.31e-06,0.449,0.353,0.631,0.122,-9.353,0.0921,2
0.568,93.888,0.00729,0.584,0.389,0.401,0.114,-8.711,0.0654,2
0.464,186.1,3.37e-05,0.637,0.0302,0.281,0.0876,-4.37,0.0694,2
0.454,170.162,0.0,0.423,0.544,0.245,0.0538,-7.286,0.0552,2
0.645,136.979,0.0492,0.615,0.293,0.0495,0.0625,-9.797,0.0421,2
0.612,148.017,0.0,0.781,0.00548,0.54,0.174,-3.601,0.0931,2
0.453,139.966,0.11,0.736,0.00118,0.091,0.373,-8.651,0.0538,2
0.666,95.025,0.484,0.594,0.562,0.939,0.0983,-8.067,0.0578,2
0.275,169.638,0.000148,0.657,0.396,0.219,0.305,-3.9,0.0431,2
0.736,106.046,0.0137,0.446,0.886,0.231,0.075,-9.437,0.0571,2
0.293,160.953,0.000119,0.696,0.0396,0.179,0.135,-6.036,0.126,2
0.599,123.983,0.426,0.887,0.00072,0.197,0.105,-6.817,0.0363,2
0.631,98.971,1.2e-05,0.835,0.113,0.466,0.331,-5.214,0.0568,2
0.592,122.957,0.00489,0.817,0.00684,0.294,0.0971,-7.979,0.0343,2
0.61,139.942,4.89e-06,0.708,0.327,0.114,0.102,-3.374,0.0415,2
0.433,167.85,0.0,0.594,0.0117,0.139,0.108,-6.075,0.0567,2
0.668,110.016,1.39e-06,0.815,0.335,0.222,0.302,-3.998,0.131,2
0.405,180.222,0.0,0.543,0.0006,0.365,0.0956,-8.47,0.0333,2
0.656,95.974,0.0,0.729,0.0789,0.438,0.133,-4.223,0.0765,2
0.53,134.236,2.2e-06,0.525,0.228,0.225,0.0812,-8.319,0.0585,2
0.553,156.0,0.0,0.687,0.0336,0.278,0.125,-6.4,0.034,2
0.499,99.943,1.89e-05,0.791,0.0685,0.25,0.138,-3.735,0.0539,2
0.64,127.005,0.00014,0.701,0.00382,0.125,0.0959,-5.251,0.0367,2
0.494,126.126,2.14e-06,0.791,0.0389,0.0725,0.128,-2.736,0.06,2
0.539,143.988,6.68e-06,0.778,0.0169,0.42,0.276,-6.32,0.0612,2
0.405,91.204,8.08e-06,0.576,0.225,0.695,0.0822,-6.245,0.171,2
0.655,107.992,0.00108,0.427,0.295,0.224,0.0788,-11.684,0.0799,2
0.72,96.048,0.0,0.864,0.0856,0.659,0.16,-3.249,0.208,2
0.728,124.887,0.699,0.599,1.86e-05,0.541,0.145,-8.85,0.0668,2
0.618,101.022,0.00796,0.805,0.424,0.335,0.332,-4.731,0.0463,2
0.728,121.919,0.00315,0.674,0.323,0.358,0.111,-5.46,0.0575,2
0.676,89.95,4.65e-05,0.697,0.0772,0.118,0.326,-5.934,0.0412,2
0.554,97.921,0.0682,0.311,0.574,0.114,0.116,-16.268,0.0386,2
0.32,78.306,0.000355,0.575,0.156,0.12,0.0563,-8.597,0.0824,2
0.712,124.912,0.802,0.601,1.09e-05,0.513,0.0982,-8.968,0.062,2
0.605,116.956,2.11e-05,0.872,0.0122,0.586,0.147,-5.122,0.0643,2
0.793,120.003,0.861,0.51,0.131,0.433,0.0681,-8.88,0.039,2
0.664,110.055,0.0,0.632,0.0699,0.272,0.13,-8.224,0.0545,2
0.676,118.004,0.0132,0.198,0.943,0.125,0.104,-13.91,0.0333,1
0.396,138.624,0.0,0.198,0.912,0.19,0.0972,-9.096,0.031,1
0.554,121.836,0.00328,0.235,0.89,0.232,0.114,-14.609,0.0342,1
0.687,95.023,7.72e-06,0.234,0.848,0.339,0.116,-12.559,0.029,1
0.387,153.426,0.00527,0.278,0.464,0.0632,0.102,-8.454,0.0318,1
0.496,114.059,0.0171,0.0672,0.762,0.176,0.109,-17.285,0.0348,1
0.374,80.169,0.0123,0.276,0.884,0.412,0.122,-14.945,0.0353,1
0.412,100.979,0.392,0.241,0.811,0.374,0.114,-13.477,0.0295,1
0.424,174.127,0.336,0.437,0.962,0.131,0.664,-8.588,0.0355,1
0.608,78.013,0.125,0.238,0.885,0.27,0.111,-13.604,0.0434,1
0.603,98.995,0.000892,0.197,0.877,0.375,0.103,-15.243,0.0295,1
0.425,84.989,0.0953,0.273,0.815,0.365,0.112,-17.055,0.0327,1
0.46,77.004,0.374,0.278,0.845,0.384,0.127,-14.927,0.0304,1
0.555,159.764,0.00119,0.418,0.309,0.328,0.237,-12.7,0.0455,1
0.49,140.053,0.245,0.404,0.82,0.281,0.122,-13.308,0.0278,1
0.603,95.116,0.00183,0.575,0.811,0.673,0.12,-10.325,0.0285,1
0.464,144.372,0.00309,0.147,0.988,0.117,0.111,-15.002,0.0369,1
0.408,96.078,0.436,0.271,0.788,0.313,0.112,-11.92,0.0314,1
0.552,92.441,0.0153,0.126,0.956,0.439,0.109,-18.014,0.0306,1
0.37,92.75,0.0029,0.174,0.95,0.181,0.11,-19.316,0.0377,1
0.542,78.088,0.0155,0.155,0.988,0.247,0.108,-12.924,0.0298,1
0.453,187.229,0.000113,0.0287,0.917,0.473,0.101,-22.37,0.136,1
0.658,128.128,0.0,0.179,0.689,0.191,0.17,-10.866,0.0448,1
0.576,76.033,2.42e-05,0.302,0.905,0.224,0.113,-12.437,0.0424,1
0.825,97.019,9.49e-05,0.324,0.83,0.553,0.115,-11.399,0.032,1
0.588,128.361,1.76e-05,0.0702,0.931,0.141,0.113,-14.083,0.0338,1
0.483,100.208,1.01e-06,0.13,0.761,0.437,0.131,-15.214,0.0346,1
0.52,122.086,0.0344,0.48,0.61,0.405,0.107,-10.288,0.0303,1
0.608,80.109,0.243,0.342,0.782,0.172,0.109,-14.166,0.0316,1
0.643,91.485,0.459,0.436,0.724,0.422,0.11,-12.245,0.0273,1
0.34,99.938,0.00211,0.419,0.859,0.263,0.141,-12.244,0.0337,1
0.567,124.44,0.0,0.224,0.887,0.2,0.109,-10.024,0.0299,1
0.631,78.0,0.0114,0.402,0.616,0.598,0.0892,-11.125,0.0286,1
0.565,140.068,1.8e-06,0.207,0.892,0.0904,0.102,-10.926,0.032,1
0.54,81.018,0.353,0.0774,0.923,0.23,0.108,-19.275,0.0342,1
0.397,79.614,0.0,0.249,0.926,0.329,0.115,-10.484,0.0394,1
0.41,149.888,0.0898,0.141,0.932,0.24,0.118,-18.564,0.0337,1
0.408,111.263,4.38e-05,0.0811,0.959,0.177,0.133,-14.655,0.0402,1
0.397,90.771,0.176,0.264,0.784,0.0857,0.113,-11.396,0.029,1
0.629,96.609,3.7e-06,0.208,0.824,0.685,0.107,-16.225,0.0324,1
0.695,119.91,0.0158,0.104,0.935,0.279,0.0984,-15.329,0.0411,1
0.45,75.932,0.0,0.206,0.695,0.248,0.119,-13.414,0.0298,1
0.367,116.659,0.358,0.326,0.699,0.064,0.0759,-15.605,0.0344,1
0.63,124.982,2.65e-05,0.214,0.924,0.271,0.102,-9.455,0.0301,1
0.559,117.21,0.0039,0.466,0.315,0.623,0.0933,-6.769,0.0362,1
0.632,93.925,4.81e-06,0.0807,0.933,0.273,0.101,-16.066,0.0329,1
0.546,79.785,9.73e-05,0.411,0.701,0.528,0.0955,-9.308,0.0475,1
0.347,149.681,2.94e-05,0.183,0.826,0.24,0.126,-11.149,0.0338,1
0.541,97.822,0.00673,0.39,0.807,0.149,0.158,-10.913,0.0256,1
0.579,102.713,0.0018,0.415,0.929,0.42,0.671,-11.599,0.0397,1
0.63,106.996,0.709,0.245,0.971,0.368,0.0819,-15.171,0.029,1
0.615,135.579,6.97e-06,0.361,0.783,0.434,0.218,-10.441,0.0451,1
0.478,110.918,0.00109,0.588,0.462,0.341,0.069,-8.032,0.0304,1
0.582,136.758,3.41e-05,0.151,0.884,0.197,0.0983,-13.845,0.0353,1
0.524,90.857,5.23e-05,0.185,0.923,0.557,0.139,-12.967,0.0324,1
0.56,128.652,0.0,0.269,0.811,0.172,0.166,-11.886,0.0351,1
0.414,147.2,0.00055,0.452,0.156,0.0862,0.112,-8.193,0.0326,1
0.239,129.934,0.313,0.158,0.597,0.209,0.0945,-19.589,0.0362,1
0.394,131.512,0.00297,0.0826,0.946,0.0932,0.154,-12.172,0.0392,1
0.509,134.956,0.0946,0.417,0.77,0.482,0.0887,-9.632,0.0295,1
0.502,78.455,0.0418,0.0548,0.924,0.506,0.108,-23.684,0.0356,1
0.47,59.54,0.00534,0.235,0.828,0.358,0.108,-12.509,0.0286,1
0.525,92.001,0.0,0.353,0.596,0.241,0.0964,-10.985,0.0322,1
0.611,150.075,0.0,0.33,0.862,0.418,0.18,-11.475,0.0504,1
0.516,140.548,0.0232,0.166,0.92,0.329,0.0995,-17.147,0.042,1
0.596,125.329,0.00454,0.261,0.967,0.62,0.112,-13.778,0.0335,1
0.402,112.572,0.000212,0.267,0.687,0.255,0.097,-10.299,0.0402,1
0.604,88.377,0.166,0.363,0.876,0.672,0.165,-11.674,0.0295,1
0.643,137.709,0.00138,0.213,0.891,0.12,0.211,-15.584,0.0324,1
0.705,80.965,0.0348,0.144,0.964,0.559,0.108,-14.027,0.0502,1
0.558,119.127,0.0183,0.0991,0.979,0.0562,0.0981,-18.512,0.0353,1
0.787,100.007,0.0275,0.343,0.895,0.47,0.11,-11.413,0.0298,1
0.589,165.908,0.0,0.467,0.761,0.571,0.0847,-8.179,0.031,1
0.558,109.528,4.09e-06,0.0843,0.881,0.153,0.13,-18.398,0.0372,1
0.577,81.005,0.0836,0.447,0.554,0.261,0.116,-11.342,0.0312,1
0.473,145.027,8.83e-05,0.25,0.796,0.261,0.101,-11.263,0.0304,1
0.766,104.03,7.95e-06,0.191,0.932,0.262,0.261,-12.606,0.0394,1
0.666,149.441,0.0269,0.566,0.467,0.819,0.144,-12.136,0.0309,1
0.377,152.207,0.000155,0.267,0.941,0.345,0.0881,-13.29,0.0354,1
0.619,115.405,4.99e-05,0.299,0.846,0.31,0.243,-7.744,0.0279,1
0.516,158.964,0.0843,0.15,0.987,0.473,0.113,-19.033,0.0405,1
0.629,154.001,0.0259,0.383,0.735,0.421,0.0928,-13.195,0.044,1
0.306,89.545,0.0,0.213,0.644,0.291,0.103,-7.79,0.0316,1
0.518,75.263,0.136,0.276,0.644,0.108,0.356,-15.953,0.038,1
0.555,117.462,0.000281,0.144,0.842,0.198,0.0953,-16.868,0.0474,1
0.658,97.957,0.0,0.396,0.627,0.485,0.176,-12.753,0.0319,1
0.641,128.091,0.0,0.415,0.69,0.34,0.0977,-8.212,0.0294,1
0.404,129.162,8.63e-06,0.48,0.274,0.2,0.132,-8.906,0.0303,1
0.613,81.258,0.000104,0.215,0.813,0.23,0.106,-13.147,0.0538,1
0.651,119.028,0.00426,0.168,0.867,0.324,0.113,-16.335,0.0315,1
0.468,94.422,8.28e-05,0.201,0.915,0.383,0.0952,-17.024,0.0388,1
0.587,119.752,0.000162,0.142,0.862,0.288,0.0953,-15.196,0.0329,1
0.651,104.116,0.0,0.261,0.57,0.287,0.301,-10.019,0.0266,1
0.373,129.03,0.00105,0.216,0.955,0.496,0.0739,-11.41,0.0326,1
0.214,46.591,0.058,0.148,0.0128,0.0277,0.113,-17.775,0.037,1
0.58,152.867,0.0122,0.469,0.57,0.56,0.193,-10.02,0.0332,1
0.695,88.045,0.266,0.269,0.926,0.21,0.35,-12.881,0.0273,1
0.603,99.927,0.012,0.194,0.91,0.302,0.115,-15.252,0.0282,1
0.468,75.928,1.62e-06,0.0726,0.939,0.444,0.103,-15.19,0.0391,1
0.655,99.956,0.155,0.396,0.964,0.39,0.103,-12.673,0.0349,1
0.518,114.896,0.831,0.337,0.948,0.125,0.042,-18.09,0.0621,1
0.351,79.717,0.872,0.00256,0.983,0.0336,0.105,-39.367,0.03,1
0.0887,78.308,0.935,0.13,0.932,0.0461,0.134,-24.5,0.0422,1
0.328,70.365,0.961,0.0217,0.971,0.235,0.108,-31.895,0.101,1
0.146,148.379,0.967,0.214,0.875,0.0328,0.113,-12.378,0.0358,1
0.165,133.186,0.977,0.0147,0.995,0.0336,0.0806,-28.886,0.0443,1
0.104,66.605,0.683,0.149,0.981,0.101,0.695,-17.049,0.0413,1
0.528,132.313,0.944,0.0233,0.969,0.486,0.112,-26.484,0.0536,1
0.151,136.676,0.913,0.0232,0.944,0.0322,0.0985,-29.538,0.0446,1
0.156,70.351,0.958,0.0866,0.996,0.0299,0.105,-26.905,0.0525,1
0.0982,77.503,0.923,0.224,0.969,0.0319,0.115,-17.603,0.042,1
0.218,75.195,0.79,0.0282,0.985,0.379,0.109,-30.323,0.0613,1
0.172,123.948,0.763,0.148,0.908,0.038,0.0834,-18.667,0.0394,1
0.114,74.92,0.949,0.188,0.845,0.0566,0.113,-25.055,0.0408,1
0.247,66.538,0.826,0.109,0.883,0.0909,0.1,-23.537,0.0408,1
0.191,136.391,0.896,0.108,0.82,0.0351,0.112,-25.134,0.0583,1
0.195,127.853,0.769,0.00891,0.879,0.0336,0.112,-35.401,0.0732,1
0.0849,84.466,0.993,0.118,0.993,0.0338,0.108,-23.072,0.0559,1
0.175,118.552,0.974,0.0239,0.802,0.0323,0.0919,-30.837,0.0504,1
0.127,85.31,0.956,0.062,0.875,0.0399,0.647,-28.235,0.0357,1
0.409,84.933,0.635,0.178,0.87,0.213,0.111,-25.125,0.0898,1
0.243,71.248,0.618,0.0842,0.952,0.152,0.112,-29.673,0.0605,1
0.167,68.43,0.966,0.0174,0.984,0.0337,0.0976,-28.777,0.0484,1
0.176,132.939,0.914,0.0724,0.858,0.0397,0.111,-25.658,0.0394,1
0.187,70.635,0.728,0.0246,0.969,0.0309,0.0889,-33.493,0.0335,1
0.235,138.826,0.93,0.0891,0.0905,0.0273,0.114,-23.771,0.0367,1
0.127,66.224,0.943,0.033,0.994,0.0355,0.0825,-30.043,0.0528,1
0.262,141.863,0.711,0.133,0.795,0.035,0.109,-20.637,0.0483,1
0.188,86.933,0.892,0.412,0.932,0.134,0.171,-15.004,0.0793,1
0.0819,82.936,0.847,0.0342,0.941,0.032,0.0671,-28.088,0.0414,1
0.22,93.542,0.955,0.29,0.936,0.19,0.0992,-16.961,0.0402,1
0.229,71.634,0.34,0.27,0.774,0.04,0.118,-17.191,0.0328,1
0.108,70.314,0.869,0.0718,0.913,0.173,0.0949,-30.997,0.0386,1
0.0594,54.213,0.918,0.216,0.663,0.0243,0.0451,-19.883,0.0493,1
0.125,70.243,0.893,0.217,0.591,0.0399,0.099,-22.253,0.047,1
0.139,69.656,0.979,0.0242,0.98,0.0331,0.123,-30.135,0.0399,1
0.364,60.231,0.833,0.00592,0.995,0.0432,0.0963,-31.109,0.041,1
0.182,85.62,0.914,0.203,0.974,0.0311,0.0954,-13.31,0.0426,1
0.139,176.308,0.596,0.0341,0.749,0.0365,0.0907,-33.45,0.105,1
0.197,67.756,0.837,0.0152,0.984,0.0666,0.0885,-34.308,0.0616,1
0.0856,71.879,0.929,0.027,0.996,0.0633,0.229,-29.771,0.0525,1
0.226,114.52,0.997,0.237,0.964,0.0795,0.227,-23.185,0.041,1
0.174,68.8,0.854,0.261,0.938,0.0625,0.0795,-17.606,0.036,1
0.184,120.491,0.964,0.185,0.931,0.0399,0.105,-21.643,0.0408,1
0.243,137.632,0.794,0.0632,0.996,0.0531,0.106,-31.781,0.0838,1
0.189,73.503,0.935,0.0628,0.936,0.153,0.102,-21.752,0.0544,1
0.517,110.02,0.91,0.0316,0.98,0.155,0.112,-21.51,0.0349,1
0.405,76.821,0.909,0.00876,0.996,0.501,0.0941,-36.729,0.0404,1
0.0962,85.128,0.889,0.259,0.969,0.0365,0.0937,-20.084,0.0471,1
0.35,131.98,0.891,0.266,0.986,0.137,0.103,-19.502,0.0307,1
0.196,135.941,0.892,0.0415,0.98,0.0764,0.105,-26.728,0.0532,1
0.241,68.321,0.774,0.126,0.939,0.0524,0.0721,-20.532,0.0335,1
0.0868,80.55,0.944,0.032,0.969,0.0397,0.0763,-23.915,0.0388,1
0.145,137.54,0.944,0.00695,0.913,0.0292,0.083,-33.859,0.0458,1
0.218,75.195,0.79,0.0282,0.985,0.379,0.109,-30.323,0.0613,1
0.196,72.125,0.917,0.00687,0.992,0.053,0.106,-34.255,0.0442,1
0.118,61.882,0.972,0.296,0.946,0.184,0.111,-23.831,0.0737,1
0.236,137.626,0.83,0.257,0.838,0.153,0.112,-16.112,0.0339,1
0.306,67.859,0.943,0.16,0.996,0.0839,0.0753,-21.068,0.0449,1
0.066,61.941,0.904,0.0176,0.974,0.0312,0.0956,-32.195,0.0602,1
0.201,143.001,0.909,0.078,0.986,0.0374,0.0886,-26.306,0.0442,1
0.14,102.257,0.918,0.0257,0.884,0.0389,0.108,-29.924,0.0518,1
0.149,74.035,0.775,0.209,0.869,0.0596,0.0826,-16.828,0.0446,1
0.0983,67.071,0.887,0.0272,0.97,0.0707,0.124,-21.134,0.0402,1
0.275,102.83,0.904,0.0476,0.942,0.0712,0.0924,-22.524,0.0356,1
0.151,89.794,0.953,0.127,0.92,0.0626,0.0951,-24.148,0.0398,1
0.155,70.617,0.933,0.087,0.991,0.0388,0.635,-26.906,0.0609,1
0.101,172.103,0.948,0.0664,0.913,0.035,0.0573,-20.238,0.0388,1
0.24,140.329,0.606,0.145,0.966,0.0356,0.404,-21.933,0.0327,1
0.152,139.095,0.775,0.0315,0.922,0.155,0.11,-29.774,0.047,1
0.15,137.555,0.833,0.0586,0.857,0.0357,0.128,-28.755,0.0443,1
0.471,138.683,0.0,0.273,0.845,0.188,0.12,-10.072,0.0324,1
0.415,81.876,0.00236,0.11,0.951,0.234,0.0962,-14.901,0.0388,1
0.473,139.899,0.0124,0.317,0.944,0.132,0.11,-10.324,0.0318,1
0.629,96.609,3.7e-06,0.208,0.824,0.685,0.107,-16.225,0.0324,1
0.367,172.358,0.0584,0.208,0.629,0.663,0.106,-16.734,0.0363,1
0.338,142.13,0.156,0.527,0.786,0.23,0.109,-9.695,0.0299,1
0.45,179.133,0.000679,0.324,0.71,0.354,0.176,-11.234,0.037,1
0.374,80.169,0.0123,0.276,0.884,0.412,0.122,-14.945,0.0353,1
0.579,102.713,0.0018,0.415,0.929,0.42,0.671,-11.599,0.0397,1
0.625,137.926,0.00242,0.432,0.633,0.361,0.127,-11.948,0.0283,1
0.458,140.617,0.000309,0.256,0.961,0.317,0.0951,-13.301,0.0308,1
0.555,159.764,0.00119,0.418,0.309,0.328,0.237,-12.7,0.0455,1
0.498,85.35,0.00428,0.167,0.896,0.352,0.136,-16.38,0.0282,1
0.375,132.094,0.0178,0.261,0.539,0.139,0.116,-11.312,0.0288,1
0.48,132.404,0.00416,0.418,0.505,0.319,0.11,-9.622,0.0312,1
0.569,110.916,0.0,0.184,0.908,0.309,0.114,-12.842,0.0584,1
0.571,104.991,0.000331,0.558,0.722,0.283,0.116,-8.553,0.0281,1
0.316,155.69,0.00227,0.413,0.856,0.245,0.143,-12.216,0.0334,1
0.676,125.053,0.416,0.0812,0.979,0.314,0.118,-22.846,0.0398,1
0.527,114.954,0.000142,0.283,0.876,0.283,0.106,-11.962,0.0367,1
0.637,97.423,0.0,0.263,0.873,0.487,0.164,-9.094,0.0399,1
0.334,92.291,0.0781,0.397,0.558,0.0351,0.126,-7.993,0.0283,1
0.417,88.272,0.732,0.425,0.807,0.506,0.097,-10.99,0.032,1
0.532,140.671,0.0277,0.317,0.909,0.28,0.11,-10.693,0.0309,1
0.505,95.419,6.96e-05,0.341,0.728,0.0593,0.122,-13.863,0.0338,1
0.65,129.028,0.0487,0.377,0.807,0.288,0.11,-12.626,0.0275,1
0.554,104.005,0.0321,0.226,0.891,0.229,0.107,-11.323,0.0281,1
0.37,92.75,0.0029,0.174,0.95,0.181,0.11,-19.316,0.0377,1
0.629,102.984,0.0725,0.585,0.614,0.523,0.129,-8.563,0.0269,1
0.592,96.002,0.000586,0.416,0.882,0.417,0.112,-9.794,0.0246,1
0.686,102.001,0.00254,0.346,0.905,0.239,0.108,-10.423,0.0233,1
0.603,95.116,0.00183,0.575,0.811,0.673,0.12,-10.325,0.0285,1
0.603,156.017,0.0263,0.434,0.804,0.443,0.111,-11.368,0.0544,1
0.553,105.989,0.00123,0.391,0.933,0.242,0.0993,-12.303,0.0315,1
0.488,87.846,0.000582,0.551,0.242,0.443,0.219,-9.399,0.0298,1
0.393,135.477,0.00564,0.183,0.542,0.258,0.113,-12.228,0.0329,1
0.477,109.965,8.36e-06,0.712,0.224,0.407,0.118,-6.759,0.0653,1
0.602,126.962,0.0263,0.506,0.687,0.312,0.177,-9.046,0.0273,1
0.539,140.01,0.393,0.179,0.921,0.145,0.106,-14.33,0.0309,1
0.392,80.364,2.03e-05,0.337,0.827,0.19,0.114,-9.68,0.0329,1
0.618,90.982,0.0626,0.199,0.861,0.621,0.144,-16.692,0.0306,1
0.377,152.207,0.000155,0.267,0.941,0.345,0.0881,-13.29,0.0354,1
0.595,108.043,0.0286,0.723,0.047,0.272,0.0995,-8.256,0.0349,1
0.61,100.02,0.0,0.245,0.902,0.212,0.0944,-7.01,0.0275,1
0.412,151.739,0.0,0.285,0.935,0.377,0.11,-9.918,0.0444,1
0.561,88.431,0.00194,0.652,0.617,0.469,0.183,-11.094,0.0375,1
0.379,170.097,1.19e-05,0.194,0.901,0.436,0.139,-12.644,0.0438,1
0.611,150.075,0.0,0.33,0.862,0.418,0.18,-11.475,0.0504,1
0.602,90.458,0.0263,0.359,0.902,0.44,0.0946,-7.893,0.0244,1
0.584,136.17,0.0,0.0989,0.943,0.304,0.111,-13.526,0.0356,1
0.45,75.932,0.0,0.206,0.695,0.248,0.119,-13.414,0.0298,1
0.604,112.069,0.287,0.179,0.898,0.209,0.11,-15.847,0.0287,1
0.441,79.664,0.0348,0.283,0.765,0.225,0.076,-9.092,0.0304,1
0.503,148.905,0.0141,0.435,0.814,0.341,0.0998,-8.761,0.036,1
0.648,121.459,0.266,0.352,0.692,0.173,0.106,-10.11,0.0278,1
0.59,143.986,0.00424,0.292,0.772,0.34,0.162,-12.826,0.0325,1
0.499,78.266,0.00835,0.395,0.293,0.349,0.0963,-8.615,0.0272,1
0.336,94.948,0.00616,0.647,0.142,0.207,0.826,-7.718,0.039,1
0.54,128.871,0.000587,0.222,0.88,0.28,0.346,-12.846,0.0321,1
0.552,87.485,0.731,0.15,0.974,0.316,0.0698,-16.746,0.0347,1
0.397,75.511,0.00313,0.109,0.972,0.221,0.108,-16.509,0.0398,1
0.475,142.664,0.195,0.31,0.91,0.435,0.111,-13.505,0.0296,1
0.641,96.415,0.0393,0.582,0.642,0.384,0.0876,-9.085,0.0335,1
0.381,80.049,0.000613,0.163,0.89,0.267,0.113,-13.972,0.0467,1
0.372,162.3,7.28e-05,0.444,0.82,0.357,0.141,-9.036,0.0295,1
0.592,107.747,0.0908,0.426,0.832,0.285,0.115,-15.107,0.0305,1
0.541,179.913,0.0,0.574,0.657,0.533,0.0962,-6.981,0.0362,1
0.621,107.636,0.0,0.213,0.917,0.231,0.0927,-13.484,0.0299,1
0.486,94.397,0.0519,0.116,0.915,0.461,0.129,-17.776,0.0315,1
0.607,76.702,0.00425,0.198,0.963,0.381,0.107,-14.271,0.038,1
0.524,98.796,0.00813,0.696,0.555,0.14,0.129,-9.772,0.0339,1
0.464,144.372,0.00309,0.147,0.988,0.117,0.111,-15.002,0.0369,1
0.612,78.197,0.000463,0.317,0.924,0.494,0.104,-9.763,0.0318,1
0.521,104.03,0.00814,0.22,0.647,0.135,0.179,-10.202,0.0314,1
0.756,101.957,0.0,0.281,0.764,0.194,0.111,-13.347,0.0327,1
0.643,100.084,0.0,0.44,0.447,0.391,0.129,-9.538,0.0241,1
0.383,91.899,0.00216,0.547,0.771,0.282,0.0913,-9.899,0.0376,1
0.579,136.311,0.000308,0.171,0.901,0.389,0.111,-14.495,0.0303,1
0.581,76.028,0.000214,0.378,0.714,0.268,0.0916,-11.631,0.0269,1
0.416,102.49,1.5e-05,0.192,0.911,0.222,0.107,-12.525,0.034,1
0.599,124.858,5.41e-06,0.195,0.976,0.308,0.0947,-11.527,0.0355,1
