,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
73,0.656,94.514,0.0,0.578,0.235,0.556,0.118,-8.97,0.0922,2
74,0.325,127.09,0.802,0.233,0.678,0.037,0.109,-17.275,0.0361,2
75,0.605,84.628,6.83e-06,0.365,0.63,0.224,0.0554,-11.144,0.111,2
76,0.511,92.958,0.0,0.545,0.744,0.381,0.111,-7.111,0.0304,2
77,0.418,73.538,0.0211,0.124,0.79,0.0412,0.102,-16.399,0.0559,2
78,0.722,79.923,0.0,0.252,0.0671,0.276,0.0852,-14.411,0.0762,2
79,0.662,147.997,0.0,0.714,0.312,0.464,0.179,-5.68,0.121,2
80,0.513,94.791,0.0,0.661,0.161,0.179,0.246,-6.419,0.24,2
81,0.784,116.959,0.0,0.753,0.438,0.532,0.167,-4.099,0.213,2
82,0.567,120.1,0.0,0.515,0.354,0.321,0.078,-10.265,0.247,2
83,0.61,146.163,0.0,0.725,0.367,0.291,0.154,-5.131,0.15,2
84,0.378,75.363,0.0,0.461,0.627,0.232,0.386,-6.202,0.0275,2
85,0.442,120.075,0.00026,0.267,0.921,0.116,0.148,-12.857,0.0365,2
86,0.477,174.143,7.36e-06,0.328,0.906,0.283,0.262,-8.458,0.0658,2
87,0.663,108.959,0.00978,0.567,0.0938,0.139,0.124,-5.941,0.0309,2
88,0.272,82.047,1.06e-05,0.358,0.503,0.281,0.359,-11.231,0.0442,2
89,0.658,116.803,0.0,0.549,0.469,0.381,0.119,-7.711,0.47,2
90,0.839,110.011,0.0137,0.749,0.453,0.292,0.224,-7.167,0.149,2
91,0.753,111.863,0.865,0.355,0.48,0.506,0.122,-13.295,0.0898,2
92,0.826,95.997,1.53e-05,0.496,0.584,0.191,0.186,-9.174,0.141,2
93,0.683,114.924,0.881,0.254,0.553,0.253,0.589,-15.175,0.0722,2
94,0.87,119.054,0.0027,0.341,0.481,0.436,0.329,-14.15,0.439,2
95,0.688,95.087,2.06e-05,0.536,0.93,0.363,0.12,-15.598,0.232,2
96,0.515,119.948,0.00126,0.655,0.401,0.364,0.13,-9.021,0.389,2
97,0.56,146.448,1.71e-05,0.442,0.727,0.212,0.11,-7.224,0.0243,2
98,0.783,80.102,0.157,0.319,0.909,0.525,0.326,-16.088,0.285,2
99,0.368,91.799,8.83e-05,0.44,0.713,0.285,0.966,-11.486,0.0294,2
0,0.622,80.007,0.914,0.465,0.548,0.343,0.114,-14.364,0.0447,1
1,0.484,126.44,0.874,0.317,0.264,0.114,0.234,-15.852,0.0299,1
2,0.62,127.883,0.742,0.358,0.319,0.0583,0.0596,-12.732,0.0294,1
3,0.106,53.925,0.858,0.289,0.774,0.0369,0.365,-13.605,0.0358,1
4,0.29,84.399,0.885,0.263,0.816,0.0473,0.104,-15.46,0.0329,1
5,0.558,111.952,0.858,0.305,0.725,0.186,0.0693,-16.09,0.0278,1
6,0.224,118.993,0.945,0.393,0.586,0.0336,0.0626,-11.665,0.0358,1
7,0.604,79.997,0.924,0.452,0.132,0.115,0.0734,-14.343,0.0318,1
8,0.194,110.922,0.226,0.179,0.0825,0.0371,0.0903,-15.572,0.0386,1
9,0.591,130.047,0.769,0.489,0.73,0.119,0.244,-10.856,0.0343,1
10,0.312,141.669,0.688,0.282,0.384,0.0478,0.0915,-14.487,0.035,1
11,0.556,156.078,0.756,0.651,0.625,0.47,0.228,-10.023,0.0825,1
12,0.276,133.722,0.987,0.26,0.827,0.0374,0.0988,-16.536,0.0297,1
13,0.579,145.965,0.944,0.67,0.588,0.359,0.0873,-10.511,0.0306,1
14,0.624,134.001,0.68,0.506,0.253,0.0773,0.123,-13.422,0.0414,1
15,0.643,80.007,0.888,0.658,0.45,0.421,0.107,-8.341,0.0357,1
16,0.0676,56.791,0.63,0.195,0.11,0.0384,0.11,-18.06,0.0411,1
17,0.446,135.895,0.885,0.344,0.73,0.064,0.0905,-13.461,0.0355,1
18,0.116,71.748,0.15,0.168,0.3,0.0387,0.0928,-16.399,0.04,1
19,0.557,80.058,0.766,0.0897,0.974,0.113,0.0952,-18.822,0.0364,1
20,0.559,99.994,0.92,0.216,0.982,0.313,0.0995,-21.536,0.0445,1
21,0.642,120.012,0.88,0.217,0.954,0.494,0.128,-20.276,0.0427,1
22,0.123,166.657,0.881,0.0427,0.847,0.0364,0.111,-25.945,0.0324,1
23,0.557,80.058,0.766,0.0897,0.974,0.113,0.0952,-18.822,0.0364,1
24,0.559,99.994,0.92,0.216,0.982,0.313,0.0995,-21.536,0.0445,1
25,0.642,120.012,0.88,0.217,0.954,0.494,0.128,-20.276,0.0427,1
26,0.123,166.657,0.881,0.0427,0.847,0.0364,0.111,-25.945,0.0324,1
27,0.561,99.99,0.91,0.255,0.986,0.29,0.119,-19.465,0.0429,1
28,0.219,139.724,0.837,0.0266,0.932,0.0641,0.111,-24.599,0.0372,1
29,0.529,74.999,0.945,0.367,0.981,0.68,0.112,-20.599,0.0538,1
